Symbol,Approved.Symbol
A3GALT1,ABO
A3GALT2,A3GALT2
A3GALT2P,A3GALT2
A4,ATP6V0A4
A4,PLP2
A4,SGCG
A4-LSB,PLP2
A43,POLR1F
A4GALT,A4GALT
A4GNT,A4GNT
A6,TWF1
A6L,MT-ATP8
A6PS1,TWF1P1
A6PS2,TWF1P2
A6R,TWF2
A6RP,TWF2
A8-51,ZNF3
AA,TEAD1
AAA1,NPSR1-AS1
AAAS,AAAS
AAAT,SLC1A5
AAC-11,API5
AAC1,NAT1
AAC1,SLC25A4
AAC11,API5
AAC2,NAT2
AACP,NATP
AACS,AACS
AACSL,AACSP1
AACSP1,AACSP1
AACT,SERPINA3
AADAC,AADAC
AADACL1,NCEH1
AADACL2,AADACL2
AADACL2-AS1,AADACL2-AS1
AADACL3,AADACL3
AADACL4,AADACL4
AADACP1,AADACP1
AADAT,AADAT
AADC,DDC
AAED1,PRXL2C
AAF132,CTC1
AAG3,SRSF7
AAGAB,AAGAB
AAIR8193,APOOL
AAK1,AAK1
AAKG,PRKAG2
AAKG2,PRKAG2
AAMDC,AAMDC
AAMP,AAMP
AANAT,AANAT
AAP,SERPINF2
AAP1,RYBP
AAR2,AAR2
AARD,AARD
AARS,AARS1
AARS1,AARS1
AARS1P1,AARS1P1
AARS2,AARS2
AARSD1,AARSD1
AARSD1P1,AARSD1P1
AARSL,AARS2
AARSP1,AARS1P1
AASD-PPT,AASDHPPT
AASDH,AASDH
AASDHPPT,AASDHPPT
AASS,AASS
AAT,SERPINA1
AAT-1,CFAP91
AAT1,CFAP91
AAT1ALPHA,CFAP91
AATBC,AATBC
AATF,AATF
AATK,AATK
AATK-AS1,PVALEF
AATYK,AATK
AATYK1,AATK
AATYK2,LMTK2
AAV,AAVS1
AAVR,KIAA0319L
AAVS1,PPP1R12C
AAVS1,AAVS1
AB-DIP,QRICH1
AB014085.4,HCG19P
AB023048.2,HCG21
AB023051.1,HCG20
AB023060.6,POLR2LP1
AB073614,CP
ABAD,HSD17B10
ABALON,ABALON
ABAT,ABAT
ABBA,MTSS2
ABBA-1,MTSS2
ABBP1,HNRNPAB
ABC-C,ABCA3
ABC1,ABCA1
ABC1,HEATR6
ABC16,ABCB11
ABC2,ABCA2
ABC20,ABCB1
ABC28,ABCF2
ABC3,ABCA3
ABC35,CFTR
ABC36,ABCC8
ABC50,ABCF1
ABC7,ABCB7
ABC8,ABCG1
ABCA1,ABCA1
ABCA10,ABCA10
ABCA11,ABCA11P
ABCA11P,ABCA11P
ABCA12,ABCA12
ABCA13,ABCA13
ABCA15P,ABCA15P
ABCA17P,ABCA17P
ABCA2,ABCA2
ABCA3,ABCA3
ABCA3P1,ABCA3P1
ABCA4,ABCA4
ABCA5,ABCA5
ABCA6,ABCA6
ABCA7,ABCA7
ABCA8,ABCA8
ABCA9,ABCA9
ABCA9-AS1,ABCA9-AS1
ABCB1,ABCB1
ABCB10,ABCB10
ABCB10P,ABCB10P1
ABCB10P1,ABCB10P1
ABCB10P2,ABCB10P1
ABCB10P3,ABCB10P3
ABCB10P4,ABCB10P4
ABCB11,ABCB11
ABCB2,TAP1
ABCB3,TAP2
ABCB4,ABCB4
ABCB5,ABCB5
ABCB5ALPHA,ABCB5
ABCB5BETA,ABCB5
ABCB6,ABCB6
ABCB7,ABCB7
ABCB8,ABCB8
ABCB9,ABCB9
ABCC1,ABCC1
ABCC10,ABCC10
ABCC11,ABCC11
ABCC12,ABCC12
ABCC13,ABCC13
ABCC13P,ABCC13
ABCC2,ABCC2
ABCC3,ABCC3
ABCC4,ABCC4
ABCC5,ABCC5
ABCC5-AS1,ABCC5-AS1
ABCC6,ABCC6
ABCC6P1,ABCC6P1
ABCC6P2,ABCC6P2
ABCC7,CFTR
ABCC8,ABCC8
ABCC9,ABCC9
ABCD-1,CCL22
ABCD-2,CCL17
ABCD-3,CX3CL1
ABCD1,ABCD1
ABCD1P1,ABCD1P1
ABCD1P2,ABCD1P2
ABCD1P3,ABCD1P3
ABCD1P4,ABCD1P4
ABCD1P5,ABCD1P5
ABCD2,ABCD2
ABCD3,ABCD3
ABCD4,ABCD4
ABCE1,ABCE1
ABCF1,ABCF1
ABCF1-DT,ABCF1-DT
ABCF2,ABCF2
ABCF2-H2BE1,ABCF2-H2BK1
ABCF2-H2BK1,ABCF2-H2BK1
ABCF2P1,ABCF2P1
ABCF2P2,ABCF2P2
ABCF3,ABCF3
ABCG1,ABCG1
ABCG2,ABCG2
ABCG4,ABCG4
ABCG5,ABCG5
ABCG8,ABCG8
ABCP,ABCG2
ABCR,ABCA4
ABCX,ABCA7
ABDH19,PPME1
ABF-1,MSC
ABH,ALKBH1
ABH2,ALKBH2
ABHD1,ABHD1
ABHD10,ABHD10
ABHD11,ABHD11
ABHD11-AS1,BICDL3P
ABHD12,ABHD12
ABHD12A,ABHD12
ABHD12B,ABHD12B
ABHD13,ABHD13
ABHD14A,ABHD14A
ABHD14A-ACY1,ABHD14A-ACY1
ABHD14B,ABHD14B
ABHD15,ABHD15
ABHD15-AS1,ABHD15-AS1
ABHD16A,ABHD16A
ABHD16B,ABHD16B
ABHD17A,ABHD17A
ABHD17AP1,ABHD17AP1
ABHD17AP2,ABHD17AP1
ABHD17AP3,ABHD17AP3
ABHD17AP4,ABHD17AP4
ABHD17AP5,ABHD17AP5
ABHD17AP6,ABHD17AP6
ABHD17AP7,ABHD17AP7
ABHD17AP8,ABHD17AP8
ABHD17AP9,ABHD17AP9
ABHD17B,ABHD17B
ABHD17C,ABHD17C
ABHD18,ABHD18
ABHD2,ABHD2
ABHD20,EPHX2
ABHD21,SPG21
ABHD3,ABHD3
ABHD4,ABHD4
ABHD5,ABHD5
ABHD6,ABHD6
ABHD7,EPHX4
ABHD8,ABHD8
ABHD9,EPHX3
ABI-1,ABI1
ABI-2,ABI2
ABI1,ABI1
ABI1P,ABI1P1
ABI1P1,ABI1P1
ABI2,ABI2
ABI2B,ABI2
ABI3,ABI3
ABI3BP,ABI3BP
ABIN-1,TNIP1
ABIN-2,TNIP2
ABIN-3,TNIP3
ABITRAM,ABITRAM
ABITRAMP1,ABITRAMP1
ABL,ABL1
ABL,DSP-AS1
ABL,MTTP
ABL1,ABL1
ABL2,ABL2
ABLBP3,ABI2
ABLIM,ABLIM1
ABLIM1,ABLIM1
ABLIM2,ABLIM2
ABLIM3,ABLIM3
ABLL,ABL2
ABO,ABO
ABP,AOC1
ABP,SHBG
ABP-278,FLNB
ABP-280,FLNA
ABP-280,FLNC
ABP1,AOC1
ABP1,DBNL
ABP125,SEC31A
ABP130,SEC31A
ABP620,MACF1
ABPA1P,SCGB1B1P
ABPBG1P,SCGB2B1P
ABPL,FLNC
ABR,ABR
ABR-AS1,ABR-AS1
ABRA,ABRA
ABRA1,ABRAXAS1
ABRACL,ABRACL
ABRAXAS,ABRAXAS1
ABRAXAS1,ABRAXAS1
ABRAXAS1P1,ABRAXAS1P1
ABRAXAS1P2,ABRAXAS1P2
ABRAXAS2,ABRAXAS2
ABRO1,ABRAXAS2
ABS,DDX41
ABT1,ABT1
ABT1P1,ABT1P1
ABTB1,ABTB1
ABTB2,ABTB2
ABTB2A,ABTB2
ABTB2B,ABTB3
ABTB3,ABTB3
AC,ASAH1
AC002310.12,ZNF747-DT
AC002384.1,LINC02577
AC004542.C22.1,MORC2
AC004704.1,LINC02945
AC004784.1,PSG11-AS1
AC004812.2,RAB35-AS1
AC004854.4,H2AZ2-DT
AC004997.C22.2,TBC1D10A
AC005154.1,GARS1-DT
AC005154.6,GARS1-DT
AC005253.1,KXD1-AS1
AC005392.2,LINC03078
AC005592.2,SPRY4-AS1
AC005682.5,SNHG26
AC005884.1,BCAS3-AS1
AC006160.1,MED28-DT
AC006262.5,IGFL2-AS1
AC006369.1,CDC42EP3-AS1
AC007032.1,NAMPT-AS1
AC007092.1,LINC01122
AC007182.6,FLVCR2-AS1
AC007255.8,PRR15-DT
AC007271.3,IL1R1-AS1
AC007365.1,LINC02579
AC007383.2,INO80D-AS1
AC007386.2,LINC02245
AC007389.3,LINC03050
AC007403.1,LINC01628
AC007613.1,TXNDC11-AS1
AC007731.1,FAM230G
AC008079.1,FAM230D
AC008392.1,CARD8-AS1
AC008392.1,ZNF114-AS1
AC008560.1,SHLD3
AC008750.1,SIGLEC10-AS2
AC008957.1,SLC1A3-AS1
AC009133.12,MVP-DT
AC009227.1,GALNT13-AS1
AC009237.14,LINC03052
AC009292.1,SKOR1-AS1
AC009892.10,LILRB1-AS1
AC010331.1,BICRA-AS2
AC010789.1,LINC03046
AC010904.2,LINC02973
AC010999.2,LINC03065
AC011472.4,DOCK6-AS1
AC011511.2,LIMASI
AC011511.5,ICAM4-AS1
AC012044.5,FAM25EP
AC012213.3,LINC02933
AC012568.1,SMAD3-AS1
AC015660.1,LINC03080
AC016735.2,LINC01819
AC016745.3,LINC02966
AC016747.2,C2orf74-AS1
AC016831.7,LINC00513
AC016876.1,MPDU1-AS1
AC017074.1,LINC02936
AC021321.1,ARFGEF1-DT
AC022026.3,RPSAP6
AC022211.2,MIF4GD-DT
AC022389.4,LRIT2
AC022394.1,HMGN2P8
AC02278.4,PPP1R3B-DT
AC022915.1,LINC03054
AC023283.3,ENO4
AC023904.2,LINC01553
AC025048.4,HEATR6-DT
AC025154.2,AQP5-AS1
AC026166.2-001,MTCO1P5
AC026369.3,IQSEC3-AS2
AC026412.3,LINC03067
AC026462.3,LINC03064
AC026904.1,LINC02599
AC036108.3,TTC23-AS1
AC048382.5,ZSCAN2-AS1
AC051619.4,SLC28A2-AS1
AC068228.1,FAM83A-AS2
AC068302.3,MELTF-AS1
AC073284.4,LINC02862
AC073316.3,SDK1-AS1
AC073534.2,LINC03085
AC073585.2,FAM24B
AC073585.4,FAM24A
AC074117.10,GTF3C2-AS2
AC078778.1,SCAT2
AC078883.3,ITGA6-AS1
AC079035.1,MON2-AS1
AC079061.1,SYBU-AS1
AC079135.1,GBX2-AS1
AC079630.2,LINC02471
AC079630.2,LINC02555
AC079767.4,LINC01857
AC079776.2,LINC02572
AC083837.1,LINC02605
AC084727.4,FAM170B
AC090114.2,LINC03072
AC090197.1,LOXL2-AS1
AC090559.1,SLC39A13-AS1
AC090625.2,SLC1A2-AS2
AC091814.2,LINC02470
AC092159.2,TMEM18-DT
AC092171.5,LINC03073
AC092198.1,LINC03053
AC092490.1,LINC02972
AC092620.3,LINC02631
AC092683.1,APPAT
AC093001.1,TM4SF18-AS1
AC093609.1,LINC02580
AC093797.1,SORBS2-AS1
AC096655.1-002,GACAT1
AC099850.3,PRR11-AS1
AC1,LINC01587
AC1,ADCY1
AC103760.1,WWP1-AS1
AC104041.1,LINC01418
AC104135.4,LINC01293
AC104653.1,ACTR3-AS1
AC110995.1,LINC03070
AC115837.2,LINC03071
AC125603.2,LINC03088
AC125616.1,CABP1-DT
AC131009.1,PUS1-AS1
AC133,PROM1
AC141928.1,LINC02600
AC145110.1,LINC02099
AC156455.1,LINC02985
AC19,POLR1D
AC2,ADCY2
AC3,ADCY3
AC3-33,C3orf33
AC4,ADCY4
AC40,POLR1C
AC45,ATP6AP1
AC5,ADCY5
AC6,ADCY6
AC7,ADCY7
AC8,ADCY8
AC9,ADCY9
ACA1,SNORA1
ACA10,SNORA10
ACA11,SCARNA22
ACA12,SCARNA23
ACA13,SNORA13
ACA14A,SNORA14A
ACA14B,SNORA14B
ACA15,SNORA15
ACA16,SNORA16A
ACA17,SNORA17A
ACA18,SNORA18
ACA19,SNORA19
ACA20,SNORA20
ACA21,SNORA21
ACA22,SNORA22
ACA23,SNORA23
ACA24,SNORA24
ACA25,SNORA25
ACA26,SCARNA4
ACA27,SNORA27
ACA28,SNORA28
ACA29,SNORA29
ACA2A,SNORA2A
ACA2B,SNORA2B
ACA3,SNORA3A
ACA3-2,SNORA3B
ACA30,SNORA30
ACA31,SNORA31
ACA32,SNORA32
ACA33,SNORA33
ACA34,SNORA2C
ACA35,SCARNA1
ACA36,SNORA36A
ACA36B,SNORA36B
ACA37,SNORA37
ACA38,SNORA38
ACA39,SNORA71E
ACA4,SNORA4
ACA40,SNORA40
ACA41,SNORA41
ACA42,SNORA80E
ACA43,SNORA17B
ACA44,SNORA44
ACA45,SCARNA15
ACA46,SNORA46
ACA47,SCARNA16
ACA48,SNORA48
ACA49,SNORA49
ACA5,SNORA5A
ACA50,SNORA50A
ACA51,SNORA51
ACA52,SNORA52
ACA53,SNORA53
ACA54,SNORA54
ACA55,SNORA55
ACA56,SNORA56
ACA57,SCARNA11
ACA58,SNORA58
ACA59,SNORA59A
ACA59,SNORA59B
ACA5B,SNORA5B
ACA5C,SNORA5C
ACA6,SNORA6
ACA60,SNORA60
ACA61,SNORA61
ACA62,SNORA50C
ACA63,SNORA77
ACA64,SNORA78
ACA65,SNORA79
ACA66,SCARNA20
ACA67,SNORA80A
ACA67B,SNORA80B
ACA68,SCARNA21
ACA7,SNORA7A
ACA7B,SNORA7B
ACA8,SNORA8
ACA9,SNORA9
ACAA1,ACAA1
ACAA2,ACAA2
ACAA2P1,ACAA2P1
ACAC,ACACA
ACAC1,ACACA
ACACA,ACACA
ACACALPHA,ACACA
ACACB,ACACB
ACACBETA,ACACB
ACAD1,ACADM
ACAD10,ACAD10
ACAD11,ACAD11
ACAD2,IVD
ACAD3,ACADS
ACAD4,ACADL
ACAD5,GCDH
ACAD6,ACADVL
ACAD7,ACADSB
ACAD8,ACAD8
